Profile: Function timing, sorted by time
Date:    Fri Oct 17 22:56:12 1997


Program Statistics
------------------
    Command line at 1997 Oct 17 22:45: "C:\source\enigma_cxx\Release\enigma_cxx" tstest
    Total time: 50992.129 millisecond
    Time outside of functions: 28.845 millisecond
    Call depth: 52
    Total functions: 103
    Total hits: 26359506
    Function coverage: 87.4%
    Overhead Calculated 6
    Overhead Average 6

Module Statistics for enigma_cxx.exe
------------------------------------
    Time in module: 50963.284 millisecond
    Percent of time in module: 100.0%
    Functions in module: 103
    Hits in module: 26359506
    Module function coverage: 87.4%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.003   0.0        0.003   0.0       20 std::vector<class MenuWire *,class std::allocator<class MenuWire *>>::_Ucopy(class MenuWire * const *,class MenuWire * const *,class MenuWire * *) (main.obj)
       0.002   0.0        0.046   0.0        1 Enigma::Enigma(void) (rotor.obj)
       0.002   0.0        0.007   0.0        1 Enigma::setIndicator(char const *) (rotor.obj)
       0.002   0.0        0.002   0.0       30 MovingRotor::number(void) (rotor.obj)
       0.002   0.0        0.002   0.0        1 _$E22 (rotor.obj)
       0.002   0.0        0.002   0.0        1 _$E28 (rotor.obj)
       0.002   0.0        0.002   0.0        1 _$E29 (main.obj)
       0.002   0.0        0.002   0.0        1 _$E45 (main.obj)
       0.002   0.0        0.003   0.0        1 _$E49 (main.obj)
       0.001   0.0        0.001   0.0       10 Scrambler::removeRotors(void) (rotor.obj)
       0.001   0.0        0.001   0.0        1 Stecker::Stecker(void) (rotor.obj)
       0.001   0.0        0.001   0.0        1 _$E23 (main.obj)
       0.001   0.0        0.001   0.0        1 _$E38 (main.obj)
       0.001   0.0        0.003   0.0        1 _$E39 (main.obj)
       0.001   0.0        0.003   0.0        1 _$E46 (main.obj)
       0.000   0.0        0.000   0.0        2 Stecker::clear(void) (rotor.obj)
       0.000   0.0        0.000   0.0        1 _$E24 (main.obj)
       0.000   0.0        0.000   0.0        1 _$E24 (rotor.obj)
       0.000   0.0        0.000   0.0        1 _$E30 (main.obj)
       0.000   0.0        0.000   0.0        1 _$E30 (rotor.obj)
       0.000   0.0        0.000   0.0        1 _$E34 (main.obj)
       0.000   0.0        0.000   0.0        1 _$E35 (main.obj)
       0.000   0.0        0.000   0.0        1 _$E41 (main.obj)
       0.000   0.0        0.000   0.0        1 _$E48 (main.obj)
       0.000   0.0        0.000   0.0        1 _$E55 (main.obj)
       0.000   0.0        0.000   0.0       19 std::vector<class MenuWire *,class std::allocator<class MenuWire *>>::_Destroy(class MenuWire * *,class MenuWire * *) (main.obj)
